id;name;type;subtype;is_active;location_country;ville;nb_evenements;nb_membres;certifie;creation;code_insee
https://actionpopulaire.fr/groupes/125f7526-6232-4471-9a72-d7e0edea69ff/accueil/;Groupe D'action Les Avirons;Local;1;FALSE;RE;97425 Les Avirons;NA;2;FALSE;Créé le mois dernier;974
https://actionpopulaire.fr/groupes/12748890-7ac7-4c5d-a9f3-ff05d71e320c/accueil/;Groupe Action Scorff;Local;1;TRUE;FR;56240 Inguiniel;2;2;FALSE;Créé il y a 2 mois;56
https://actionpopulaire.fr/groupes/12792c2e-73f8-44ed-8e43-197946075f2e/accueil/;Comité D'appui De Cachan;Fonctionnel;58;TRUE;FR;94230 Cachan;31;17;TRUE;Créé il y a 2 ans;94
https://actionpopulaire.fr/groupes/12a321a4-c83d-49fa-889b-44f63a88bbd1/accueil/;Phi'n Alésien (Quartier Du Centre);Local;1;TRUE;FR;30100 Alès;62;14;TRUE;Créé l’année dernière;30
https://actionpopulaire.fr/groupes/12a7904f-7931-411a-90c1-7f2e73f645cc/accueil/;Paris 12è Insoumis;Local;1;FALSE;FR;75012 Paris 12ème;NA;1;FALSE;Créé le mois dernier;75
https://actionpopulaire.fr/groupes/12b665fe-e19b-4e79-91fa-681ba85e2908/accueil/;Drancy France Insoumise;Local;1;FALSE;FR;93700 Drancy;19;11;TRUE;Créé il y a 3 ans;93
https://actionpopulaire.fr/groupes/12b9af46-3f5b-49f6-a8ae-00d79be29cda/accueil/;Pierrefitte Insoumise !;Local;1;FALSE;FR;93380 Pierrefitte-sur-Seine;3;5;TRUE;Créé il y a 2 ans;93
https://actionpopulaire.fr/groupes/12dea9c9-1ea4-45b4-8dd0-5e71b7797e4a/accueil/;Epinettes Nord - Paris 17ème;Local;1;FALSE;FR;75017 Paris;3;22;TRUE;Créé il y a 3 ans;75
https://actionpopulaire.fr/groupes/12eb4e9f-cdaa-4fd4-8202-304eae3fbc59/accueil/;Bachut Insoumis;Local;1;TRUE;FR;69008 Lyon;32;14;TRUE;Créé il y a 3 ans;69
https://actionpopulaire.fr/groupes/12f9988a-2aa4-44ef-90f0-cb55d50ea021/accueil/;Comité D'appui De La Roche-Sur-Yon;Fonctionnel;58;FALSE;FR;85000 La Roche-sur-Yon;8;7;TRUE;Créé il y a 2 ans;85
https://actionpopulaire.fr/groupes/130b3af3-1520-4ac5-9228-d33ac20c0b87/accueil/;Battant Est Pour !;Soutien Nous Sommes Pour;66;TRUE;FR;25000 Besançon;1;4;FALSE;Créé il y a 3 mois;25
https://actionpopulaire.fr/groupes/13139421-6a63-4935-baa5-495a3ce818de/accueil/;Equipe De Soutien De Pernes Les Fontaines;Soutien Nous Sommes Pour;66;TRUE;FR;84210 PERNES LES FONTAINES;NA;2;FALSE;Créé le mois dernier;84
https://actionpopulaire.fr/groupes/131e956f-d9a8-499e-bf2c-60605f8cb4e9/accueil/;Comité D'appui Dans La Première Circonscription De La Vienne;Fonctionnel;58;FALSE;FR;86170 Neuville-de-Poitou;1;11;TRUE;Créé il y a 2 ans;86
https://actionpopulaire.fr/groupes/13211d49-18ee-4bd6-be00-14860a4b262d/accueil/;Nice Saint Sylvestre;Local;1;FALSE;FR;06100 Nice;19;10;TRUE;Créé il y a 3 ans;06
https://actionpopulaire.fr/groupes/132cab4a-dae0-495b-a952-3c6edcce8cce/accueil/;Groupe Planification Ecologique Trets;Thématique;17;FALSE;FR;13530 TRETS;NA;3;FALSE;Créé il y a 3 ans;13
https://actionpopulaire.fr/groupes/1344faca-6630-4723-b293-dbe0e01a162b/accueil/;Retraite;Thématique;4;FALSE;FR;34090 Montpellier;NA;5;TRUE;Créé il y a 7 mois;34
https://actionpopulaire.fr/groupes/1346f2d9-0191-47b7-a7e0-ef4b7ac5c6b0/accueil/;Insoumis De Belo Horizonte;Local;1;FALSE;BR;30170 Belo Horizonte (Minas Gerais);1;11;TRUE;Créé il y a 3 ans;99
